チーム,背番号,選手,生年月日,ポジション,投打,出身,年俸,,,年齢,,2026,中日,横浜,巨人,阪神,ヤクルト,広島,ソフトバンク,日本ハム,楽天,西武,ロッテ,オリックス,OB,,パワプロ
阪神,5,近本 光司,1994.11.09,外野手,,,"50,000",1994,11,32,11,,M.サノー,J.デュプランティエ,R.マルティネス,近本 光司,山田 哲人,大瀬良 大地,R.オスナ,有原 航平,浅村 栄斗,源田 壮亮,G.ポランコ,西川 龍馬,村山 実,,
阪神,8,佐藤 輝明,1999.03.13,内野手,,,"45,000",1999,03,27,03,,柳 裕也,筒香 嘉智,坂本 勇人,佐藤 輝明,D.サンタナ,森下 暢仁,L.モイネロ,F.レイエス,L.ボイト,T.ネビン,N.ソト,森 友哉,江夏 豊,,
阪神,3,大山 悠輔,1994.12.19,内野手,,,"34,000",1994,12,32,12,,髙橋 宏斗,山﨑 康晃,則本 昂大,大山 悠輔,J.オスナ,S.ファビアン,C.スチュワート・ジュニア,伊藤 大海,前田 健太,平良 海馬,A.ジャクソン,A.マチャド,井川 慶,,
阪神,16,西 勇輝,1990.11.10,投手,,,"30,000",1990,11,36,11,,大野 雄大,東 克樹,甲斐 拓也,西 勇輝,田口 麗斗,床田 寛樹,近藤 健介,加藤 貴之,J.ウレーニャ,髙橋 光成,中村 奨吾,A.エスピノーザ,藪 恵壹,,
阪神,7,中野 拓夢,1996.06.28,内野手,,,"30,000",1996,06,30,06,,J.ボスラー,牧 秀悟,T.キャベッジ,中野 拓夢,中村 悠平,栗林 良吏,徐 若熙,山﨑 福也,岸 孝之,外崎 修汰,S.ロング,宮城 大弥,小林 繁,,
阪神,35,才木 浩人,1998.11.07,投手,,,"25,000",1998,11,28,11,,アブレウ,宮﨑 敏郎,戸郷 翔征,才木 浩人,J.キハダ,菊池 涼介,山川 穂高,A.マルティネス,辰己 涼介,隅田 知一郎,J.カスティーヨ,若月 健矢,藤浪 晋太郎,,
阪神,41,村上 頌樹,1998.06.25,投手,,,"23,000",1998,06,28,06,,岡林 勇希,佐野 恵太,丸 佳浩,村上 頌樹,石山 泰稚,F.ターノック,周東 佑京,万波 中正,O.ゴンザレス,T.ウィンゲンター,石川 柊太,九里 亜蓮,能見 篤史,,
阪神,1,森下 翔太,2000.08.14,外野手,,,"21,000",2000,08,26,08,,細川 成也,J.ルイーズ,吉川 尚輝,森下 翔太,J.リランソ,小園 海斗,柳田 悠岐,清宮 幸太郎,R.コントレラス,林 安可,西野 勇士,S.ジェリー,久保田 智之,,
阪神,13,岩崎 優,1991.06.19,投手,,,"20,000",1991,06,35,06,,清水 達也,A.コックス,F.ウィットリー,岩崎 優,大西 広樹,坂倉 将吾,上沢 直之,R.カストロ,C.マッカスカー,A.カナリオ,小島 和哉,B.シーモア,小山 正明,,
阪神,69,石井 大智,1997.07.29,投手,,,"20,000",1997,07,29,07,,松山 晋也,伊勢 大夢,山﨑 伊織,石井 大智,小川 泰弘,秋山 翔吾,D.ヘルナンデス,S.ラオ,鈴木 大地,E.ラミレス,種市 篤暉,L.ペルドモ,遠山 奬志,,
